Comente,Comente_texto,texto_limpo,tokens,tokens_sem_stopwords,tokens_stemmed,texto_final
No sé si en otros países otros bancos tendrán sustentabilidad con el medio ambiente en mi país Panamá hay un banco que ayuda con la sostenibilidad del medio ambiente,No sé si en otros países otros bancos tendrán sustentabilidad con el medio ambiente en mi país Panamá hay un banco que ayuda con la sostenibilidad del medio ambiente,otros países otros bancos tendrán sustentabilidad con medio ambiente país panamá hay banco que ayuda con sostenibilidad del medio ambiente,"['otros', 'países', 'otros', 'bancos', 'tendrán', 'sustentabilidad', 'con', 'medio', 'ambiente', 'país', 'panamá', 'hay', 'banco', 'que', 'ayuda', 'con', 'sostenibilidad', 'del', 'medio', 'ambiente']","['otros', 'países', 'otros', 'bancos', 'tendrán', 'sustentabilidad', 'con', 'medio', 'ambiente', 'país', 'panamá', 'hay', 'banco', 'ayuda', 'con', 'sostenibilidad', 'del', 'medio', 'ambiente']","['otr', 'país', 'otr', 'banc', 'tendrán', 'sustentabilidad', 'con', 'medi', 'ambi', 'país', 'panam', 'hay', 'banc', 'ayud', 'con', 'sostenibilidad', 'del', 'medi', 'ambi']",otr país otr banc tendrán sustentabilidad con medi ambi país panam hay banc ayud con sostenibilidad del medi ambi
Boraaaa BB. 🇧🇷💛. Já tenho 😉 #vamosjuntos Eu amo ser BRASILEIRA !!!,Boraaaa BB. :Brazil::yellow_heart:. Já tenho :winking_face: #vamosjuntos Eu amo ser BRASILEIRA !!!,boraaaa bb brazilyellow_heart tenho winking_face vamosjuntos amo ser brasileira ,"['boraaaa', 'bb', 'brazilyellow_heart', 'tenho', 'winking_face', 'vamosjuntos', 'amo', 'ser', 'brasileira']","['boraaaa', 'bb', 'brazilyellow_heart', 'winking_face', 'vamosjuntos', 'amo', 'brasileira']","['boraaa', 'bb', 'brazilyellow_heart', 'winking_fac', 'vamosjunt', 'amo', 'brasil']",boraaa bb brazilyellow_heart winking_fac vamosjunt amo brasil
👏👏👏👏 Ja tenho minha conta no BB ha 20 anos,:clapping_hands::clapping_hands::clapping_hands::clapping_hands: Ja tenho minha conta no BB ha 20 anos,clapping_handsclapping_handsclapping_handsclapping_hands tenho minha conta anos,"['clapping_handsclapping_handsclapping_handsclapping_hands', 'tenho', 'minha', 'conta', 'anos']","['clapping_handsclapping_handsclapping_handsclapping_hands', 'conta', 'anos']","['clapping_handsclapping_handsclapping_handsclapping_hand', 'cont', 'ano']",clapping_handsclapping_handsclapping_handsclapping_hand cont ano
@sergiomarone com certeza! 🙌,@sergiomarone com certeza! :raising_hands:,sergiomarone com certeza raising_hands,"['sergiomarone', 'com', 'certeza', 'raising_hands']","['sergiomarone', 'certeza', 'raising_hands']","['sergiomaron', 'cert', 'raising_hand']",sergiomaron cert raising_hand
👏👏👏👏😍,:clapping_hands::clapping_hands::clapping_hands::clapping_hands::smiling_face_with_heart-eyes:,clapping_handsclapping_handsclapping_handsclapping_handssmiling_face_with_hearteyes,['clapping_handsclapping_handsclapping_handsclapping_handssmiling_face_with_hearteyes'],['clapping_handsclapping_handsclapping_handsclapping_handssmiling_face_with_hearteyes'],['clapping_handsclapping_handsclapping_handsclapping_handssmiling_face_with_heartey'],clapping_handsclapping_handsclapping_handsclapping_handssmiling_face_with_heartey
Orgulho do BB🇧🇷,Orgulho do BB:Brazil:,orgulho bbbrazil,"['orgulho', 'bbbrazil']","['orgulho', 'bbbrazil']","['orgulh', 'bbbrazil']",orgulh bbbrazil
D +💙💛,D +:blue_heart::yellow_heart:,blue_heartyellow_heart,['blue_heartyellow_heart'],['blue_heartyellow_heart'],['blue_heartyellow_heart'],blue_heartyellow_heart
👏👏👏,:clapping_hands::clapping_hands::clapping_hands:,clapping_handsclapping_handsclapping_hands,['clapping_handsclapping_handsclapping_hands'],['clapping_handsclapping_handsclapping_hands'],['clapping_handsclapping_handsclapping_hand'],clapping_handsclapping_handsclapping_hand
"Muito, ne? 🫶🏼","Muito, ne? :heart_hands_medium-light_skin_tone:",muito ne heart_hands_mediumlight_skin_tone,"['muito', 'ne', 'heart_hands_mediumlight_skin_tone']","['ne', 'heart_hands_mediumlight_skin_tone']","['ne', 'heart_hands_mediumlight_skin_ton']",ne heart_hands_mediumlight_skin_ton
"@iloveloook orgulho, ne? 💛","@iloveloook orgulho, ne? :yellow_heart:",iloveloook orgulho ne yellow_heart,"['iloveloook', 'orgulho', 'ne', 'yellow_heart']","['iloveloook', 'orgulho', 'ne', 'yellow_heart']","['iloveloook', 'orgulh', 'ne', 'yellow_heart']",iloveloook orgulh ne yellow_heart
❤️❤️,:red_heart::red_heart:,red_heartred_heart,['red_heartred_heart'],['red_heartred_heart'],['red_heartred_heart'],red_heartred_heart
